Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
El Salvador,SLV,Cereal production (metric tons),AG.PRD.CREL.MT,418234,599157,515945,674765,534493,563638,719568,741322,729969,685762,573620,609505,731047,696878,631450,646518,806559,801743,824923,728608,991700,909194,727310,899378,867270,773383,783085,856578,778822,759720,814224,791458,822195,894975,937085,860076,1037707,989851,968601,923938,1090739,1043725,1001957,854471,1072962,1030124.36,817563.23,921410,911983.75,1015000
El Salvador,SLV,Land under cereal production (hectares),AG.LND.CREL.HA,346430,329609,350000,395500,372897,389466,414995,433861,427881,405455,368889,364687,374920,385140,389760,415730,417690,411435,425367,446040,486290,457590,451850,438445,409220,445424,415065,380695,361354,397822,328728,320104,330716,339950,334321,328871,357174,362998,355322,370766,392041,384707,403081,373447,390803,354029,343550,331804,333820,371003
Equatorial Guinea,GNQ,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86850,253390,124145,85361,99380,457811,318828,124549,219052,54530,105944,108798,335563,377202,461996,105788,226899,231050.48,312366.22,304056.87,297926.22,302103.81,306990.27,303673.43,305644.26,305435.99,304917.89,305332.72,305228.87
Eritrea,ERI,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,338500,330365,298432,322179,374255,477043,427060,330175,343832,344627,405859,395213,442581,472402,492281,419412,453744,451578,481214,441076,444814,453365,477880,474686,475917,476253,476597,477063,477286
Estonia,EST,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,598084,810703,510391,513469,629158,650546,576133,401653,696647,558480,524652,505726,608148,760073,619292,879475,863800,873466,678372,771725,991200,975500,1221600,1535300,934051,1311893,919830,1624580,1632790,1285750
Estonia,EST,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,426051,375100,319568,304298,288799,326586,354100,321000,329423,274162,259214,263166,260979,282094,280235,292271,309300,316413,275294,296941,290500,311100,332900,350400,351354,330677,350430,364370,370120,367110
Eswatini,SWZ,Cereal production (metric tons),AG.PRD.CREL.MT,129898,96285,124372,101091,105946,75660,103167,73240,104617,99138,55901,33220,154327,178426,108162,104200,140385,99607,109975,63079,95608.09,85555.45,85873.37,152068,120593,139182.11,119176,125057,113870.43,83693.52,68829.59,70528.89,69385.08,75861.15,68496.25,27540.66,61408.33,76480.67,86407.84,77388.12,84187.4,121413.61,121572.06,84589.38,35578.35,86633.02,115724.76,97699.14,89704.47,102709.46
Eswatini,SWZ,Land under cereal production (hectares),AG.LND.CREL.HA,74080,82959,80018,71254,72110,57209,57209,75732,75733,58822,62007,46126,85606,87228,72740,80845,106843,94572,85651,60053,61510,61944,67516,70091,68653,73022,62801,76550,69743,59040,69071,68881,55664,57597,48131,48518,61320,59312,71689,57596,62957,88796,89239,67150,29045,69845,92632,77255,69701,71707
Ethiopia,ETH,Cereal production (metric tons),AG.PRD.CREL.MT,5166300,4370000,4345300,3808710,4708090,4380120,3997360,5203770,6403227,5610377,5393494,6718279,5516819,4239874,4819987,5707736,6136960,5733573,6137530,5810665,5034885,5304825,5254031.58,6751322,9388992.55,9484807,7210329,8392918,8019830,9585753,9000335,9532780,10140082,12749986,12672350,13252798.06,14014121.48,16457164.46,18380017.41,19269598.3,20322264.7,22338783.3,24215411.4,25837227.61,26587343.15,28763752.2,28364293.66,29672647.7,30248749.18,30108985.38
Ethiopia,ETH,Land under cereal production (hectares),AG.LND.CREL.HA,6429500,5282000,5351000,4464500,4426300,4230000,4454800,4631000,5079000,4711820,4629430,5029230,4715860,4814680,4991450,4950900,5054810,4891260,4957410,4444010,4356060,4040330,5392277,6532410,7736657,7504650,6319880,7463030,7184230,8001604,6648807,8486199,8722142,9365022,8105902,9196798,9880145,9991821,10400347,10268620,10351267,10627226,10833970,11018259,11303227,11327016,10390466,10478218,10571532,10800036
Faroe Islands,FRO,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Faroe Islands,FRO,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,Cereal production (metric tons),AG.PRD.CREL.MT,18015,17413,17820,23293,21768,18475,17105,19917,18896,18458,21342,17951,24233,29296,26249,24333,33601,32622,28477,29575.06,23482.62,22844.23,19586.89,19771,19465.86,18539.28,6424.1,18058.74,14182.41,14895.99,13515.59,16550.34,14429.07,15948.78,13701.07,15206,12231,12140,8616.84,8142.78,4857.86,7710,7843.06,7427.98,9540.67,10065.79,8283,8013.44,10574.82,11829.9
Fiji,FJI,Land under cereal production (hectares),AG.LND.CREL.HA,9295,8454,9207,10395,9456,9572,9224,9871,9813,8919,10074,9731,11321,12165,12031,12655,14129,13761,13057,12765,10902,10039,8512,7458,9247,8376,8515,6673,5828,6361,5679,7076,6133,6789,6000,5733,5397,4307,3001,2886,2005,2570,1752,2475,3179,3354,2759,2390,2885,3043
Finland,FIN,Cereal production (metric tons),AG.PRD.CREL.MT,3021500,2795600,2852100,3441600,4015000,2898900,3016000,3257800,3305900,2414700,3417600,3876600,3646600,3642000,3520000,2182500,2825700,3808500,4296400,3429000,2602500,3340300,3399600,3333000,3711000,3811500,2780000,2881700,4102900,3671300,3937800,3791000,3618700,4058900,3789900,4135300,4229100,4260900,2991747.97,3671399.37,3661920.46,4065778.95,4130625.78,3685494.18,3566470.36,3421642.54,2768190,4036110,3415550,2648990
Finland,FIN,Land under cereal production (hectares),AG.LND.CREL.HA,1228000,1247500,1306300,1310900,1360200,1192300,1232700,1235500,1170900,1164900,1169500,1219000,1192000,1254000,1196700,1136700,1214400,1193800,1212600,1024300,914500,926200,947700,977700,1079400,1117700,1157000,1134000,1172700,1160200,1195100,1192900,1127100,1185800,1150600,1131500,1193900,1133100,954200,1042500,1036300,1102000,1119000,1019800,998100,864500,906800,948000,951600,953790
France,FRA,Cereal production (metric tons),AG.PRD.CREL.MT,40481820,43053408,41069978,35731890,32729070,39316140,45454526,44266904,48024778,45941700,48668500,46397398,58144290,55684180,50373694,52939096,56071405,57603036,55110621,60262165.8,60473754.7,55422571.9,53185122,53284873.9,62253509.9,63031639.4,67947149.1,64264517.6,65732234.8,60300838.1,69700574.9,55099556.8,70642015.5,64210067.4,61820444.7,59578777.56,70418032.1,70373159.2,65839202.3,63954886,68341730.6,67537680.9,72801345,73072833.8,54616263.89,68730244.14,61839480,70378890,56849840,66880910
France,FRA,Land under cereal production (hectares),AG.LND.CREL.HA,9710900,9768200,9827100,9666100,9512100,9704305,9816421,9802300,9893542,9714700,9719100,9373400,9728400,9696400,9501600,9277452,9221092,9444447,9060354,9219799,9324538,8510030,8129016,8252948,8789940,9147848,9163034,8851319,9089764,8961009,9352047,8995422,9395474,9218409,9090572,9137030,9709048,9493933,9314258,9242949,9420575,9532772,9605505,9626902,9597185,9406524,9055320,9394040,8904740,9326650
French Polynesia,PYF,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,PYF,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,Cereal production (metric tons),AG.PRD.CREL.MT,6800,7900,8368,7750,8400,9070,9890,10570,10830,10487,11400,12800,13662,13500,21060,23858,25421,20695,23664,24677,25369.94,27320,30506,29451.62,29311.16,24896.67,27128.84,27760.83,26900,26168.46,25046.04,32075.3,31334.8,35308.98,33170.89,34100,36286.75,39782.49,40754,42405.02,43407.52,44201.82,44781.36,45415.03,45999.72,46425.6,47291.6,46572.31,46763.17,46875.69
Gabon,GAB,Land under cereal production (hectares),AG.LND.CREL.HA,4500,5150,5600,5550,5650,6000,6580,6800,7100,7200,7600,8400,8839,9290,14290,15100,15740,14180,14900,14503,16368,17199,18395,18907,18423,15935,17130,17360,16500,16976,17280,20853,20089,22492,20994,20454,22519,25035,25552,26568,27120,27620,28120,28532,28928,29243,29774,29307,29436,29505
"Gambia, The",GMB,Cereal production (metric tons),AG.PRD.CREL.MT,86300,82900,58200,53400,37900,38600,63100,48000,70100,90000,93300,68200,86500,116090,102060,92430,100170,96781,90331,111150.12,96381,97177,95572,98755,103717,100826,106712.63,151349.31,176100,200385.3,139258.41,204775,223852,205572,215263,150540,235058.51,311001.29,363549.06,183189,224260,227688.9,174834.32,205772.38,174782.77,135796.44,86783.86,94687.69,107089.33,104686.96
"Gambia, The",GMB,Land under cereal production (hectares),AG.LND.CREL.HA,82800,78500,55800,53900,46600,47900,57700,40100,52900,67700,75800,54500,60300,91960,79970,82700,83710,86962,89978,100287,78303,82248,82735,96035,94651,107925,103813,117050,135900,156083,145021,170681,191203,197607,209731,188102,240543,295702,321902,210923,246366,237235,234276,259610,237170,216264,168165,213348,213374,213363
Georgia,GEO,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,496050,402751,470638,501476,630103,891707,588570,771064,417752,703620,661681,741924,662715,680281,320140,418724,467110.63,375640.19,220200,404700,377300,490624.35,378206.12,363416.42,431206.97,295207.81,370910.4,371408.39,412308.87,437409.22
Georgia,GEO,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,248500,227797,233502,233152,252754,404684,369521,365395,305159,349670,355719,347198,330792,338185,202130,198022,223450,196900,173200,183847,172567,222950,186050,185472,171486,149384,146612,146402,155796,159096
Germany,DEU,Cereal production (metric tons),AG.PRD.CREL.MT,28780064,29680306,32357236,30164053,27323692,30306879,33762346,31729504,32712941,31688884,34645710,33077787,37838589,37555294,37257105,35061112,36931897,36881160,37579589,39267858,34758462,35547425,36328713,39863871,42135618,45485681,44574851,44452029,45271234,49709326,43391325,39426039,51097000,45980200,43474800,40632149,50104858,49750199,44038739,41920400,45396500,47757100,52010400,48866800,45364400,45556800,37948100,44302400,43265100,42359400
Germany,DEU,Land under cereal production (hectares),AG.LND.CREL.HA,7633527,7662538,7743113,7805553,7816354,7800601,7878846,7723359,7737979,7614540,7583943,7582053,7512692,7403403,7327154,7157693,7138343,7087608,6944862,6559828,6514452,6223589,6235406,6526733,6707371,7014075,7041633,6634681,7015690,7045736,6940982,6839431,6946946,6839000,6702200,6571690,7038419,6908443,6587482,6490900,6517900,6526000,6460700,6517500,6316300,6266500,6141600,6372600,6065200,6053000
Ghana,GHA,Cereal production (metric tons),AG.PRD.CREL.MT,723500,764100,890100,671500,688800,639000,540000,780000,674000,725000,628000,432000,1072000,921000,866700,1057400,1146000,1183700,843800,1436200,1254200,1644700,1593915,1796920,1770069,1669220.67,1787521.22,1685991.8,1710622.41,1626674.06,2155213.75,2040844.47,1830250.66,1948025.7,1919026.8,1672835,2296821.04,2607164.16,2906709.36,2618992,2890743,2745913,2780040,2753193.99,2798251.57,3126782.91,3573624.43,4360039.82,4596939.49,5301239.51
Ghana,GHA,Land under cereal production (hectares),AG.LND.CREL.HA,834400,884700,930000,804900,843400,768000,645000,924000,939000,843000,822000,835000,1276000,1034000,880100,1126600,1045800,1168600,853000,1176400,1203500,1227200,1200700,1327000,1274130,1262930,1340140,1299931,1306632,1371450,1597603,1461534,1332720,1360035,1438036,1270218,1437191,1570744,1602099,1642866,1634973,1625970,1632045,1504191,1518801,1619488,1895342,1975545,1910963,2194072
Gibraltar,GIB,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gibraltar,GIB,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,Cereal production (metric tons),AG.PRD.CREL.MT,3429237,3346195,3822091,3756331,4012372,3105043,4319678,4155381,5336321,5360985,5591065,4604903,5513055,4491643,5285924,5482023,5624260,5826480,4463739,6182700,5035400,4859715.35,5268468.3,4901335.01,4890858.42,4969279.07,4609251.3,4553770.02,4926526.58,4938620.09,4825424.23,4707635.05,5068320.56,5073515.28,4685375.99,4612071.19,5567223.68,5243740.08,4722507.58,4868851.63,4771538.78,4875338.39,4263956.43,4297233.2,3962383.67,3682860.97,2993980,2944220,3105370,3092630
Greece,GRC,Land under cereal production (hectares),AG.LND.CREL.HA,1565942,1519700,1566300,1549300,1538400,1506100,1543800,1576490,1606400,1618400,1618255,1571900,1533050,1489490,1467152,1475856,1456030,1448664,1470345,1499200,1396100,1367701,1355474,1306674,1318183,1308064,1287094,1248013,1273407,1283550,1287733,1274545,1261582,1252779,1195590,1173584,1232843,1229150,1161764,1120784,1134261,1109712,994750,1019535,938176,853072,787980,728140,739890,723820
Greenland,GRL,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greenland,GRL,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,Cereal production (metric tons),AG.PRD.CREL.MT,450,385,426,439,492,571,663,550,447,470,423,393,393,390,245,250,252,256,258,295,337,386,347,354,330,300,289.13,275.95,305.16,307.08,317.12,318.33,315.18,315,300,320,329.4,335.76,342.5,350.51,360,400,410.56,354.12,388.23,385.82,375.33,378.95,380.81,382.66
Grenada,GRD,Land under cereal production (hectares),AG.LND.CREL.HA,520,450,554,500,540,630,730,606,500,450,470,414,414,410,250,250,250,255,260,265,330,390,350,360,330,300,288,275,304,307,318,318,315,320,300,320,328,333,340,347,350,400,413,353,389,387,376,380,382,384
Guam,GUM,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guam,GUM,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,Cereal production (metric tons),AG.PRD.CREL.MT,918221,930480,932236,1068282,967390,975732,1057590,1110761,1081719,1172390,1274957,1243186,1149500,1282503,1398526,1378226,1385280,1421351,1435248,1381809,1513512,1446343,1296160,1163637,1139597.18,953852.36,1165000.83,1134239,1160727,1294910.96,1300063.77,1320434.6,1350217.48,1446138.66,1557726.92,1669111.06,1792388.39,1703470.68,1716378.83,1754490.8,1804109.52,1876103.63,1900910.37,1938866.98,1986485.1,2037704.14,2065221.14,1922130.14,2049869.2,2035310.12
Guatemala,GTM,Land under cereal production (hectares),AG.LND.CREL.HA,758295,570273,655675,651477,727213,737365,698389,630960,746640,769250,746540,663268,712590,772780,785970,856670,734830,696056,718498,763420,822740,797481,684152,608595,638183,639351,692565,651413,653417,635125,644491,642961,637771,625533,619592,723868,891456,858887,859650,877053,885789,900955,908503,916401,922970,946308,959078,888014,931253,917647
Guinea,GIN,Cereal production (metric tons),AG.PRD.CREL.MT,565565,575900,589253,605306,627165,642600,652250,694720,725055,752290,765460,799610,867790,908035,945395,960925,1003971,1027770,1061616,1099509,1141553,1216315,1269642,1351036,1420176,1493690,1572228,1656065,1800810,1720945,1845827,1983588,2136216,2290039,2445151,2601213,2740273,2631430,2861146,3004174,3240342,3431379,3401200,3532855.87,3648811,3774616,3911040,3891171,4008358,4038149
Guinea,GIN,Land under cereal production (hectares),AG.LND.CREL.HA,392170,400615,410350,420500,431140,447060,462940,484300,506155,518535,531460,548955,588760,604755,623110,628645,653258,688490,729607,773242,819754,865540,892694,928700,973486,1020807,1070825,1123737,1206934,1160412,1241115,1335963,1432422,1531176,1627913,1718070,1870890,1772804,2415040,2450394,2812308,2884400,3028634,3147605,3157882,3238934,3295749,3093277,3028055,3002599
Guinea-Bissau,GNB,Cereal production (metric tons),AG.PRD.CREL.MT,50500,50500,57500,92500,110000,94000,73000,81000,93000,132000,160150,140750,158500,158000,162273,153000,150065,147931,167269,178920,168916,180738,190141,200531,174588,139936,138900,145368,177884,161681,151444,143411,171375,212538,225259,183863,216998,227517,256352.73,218430.98,248614.48,264522.4,166661.77,208494.98,225627.21,211298.6,224465.48,240479.59,258411,281221.77
Guinea-Bissau,GNB,Land under cereal production (hectares),AG.LND.CREL.HA,69500,76000,93000,122000,140000,134000,117000,127000,133000,166000,233000,208300,179000,127000,118000,100000,84809,97276,109273,110824,117166,126253,136322,143009,127759,126040,121313,140023,162150,160893,141900,133300,147231,160332,159459,136586,145611,139863,149250,138106,165275,190122,120383,149732,160675,153957,161516,188073,193713,209263
Guyana,GUY,Cereal production (metric tons),AG.PRD.CREL.MT,161378,172322,283246,297806,175495,358266,307268,242159,283440,276636,299014,246816,302533,257267,276948,246344,229661,240183,158740,254421,289200,339707,381732,529300,546537,576068,526007,565460,452569,497885,445654,550183,506411,424365,475363,466553,511036,558522,560531.98,623517.71,653320,827930,639238,691784,538450,634104.06,630660,686418.42,691539.04,563113
Guyana,GUY,Land under cereal production (hectares),AG.LND.CREL.HA,81867,94625,116977,137035,99685,139000,116700,91316,95974,88770,97691,76616,98266,78879,85292,77242,76389,72330,53262,77434,84117,104256,104178,135749,138082,145325,131394,149153,119122,126115,109123,132400,120100,109900,105100,110500,122800,128530,134570,143537,146308,167711,188311,193922,153172,175186,170084,180731,188624,152874
Haiti,HTI,Cereal production (metric tons),AG.PRD.CREL.MT,564000,457477,458400,422500,446000,369587,374504,428729,419670,409250,390900,428180,432058,444655,475915,461806,469183,453100,360900,400000,451796,422377.1,425000,412795.71,412198,490000,402596,475000,430500,363000,376000,381500,398000,405500,415000,520000,420000,553500,626800,616092.22,441594.05,613317.95,586897,428590.12,442632,484000,415370,389868,370000,373000
Haiti,HTI,Land under cereal production (hectares),AG.LND.CREL.HA,491000,429000,390000,378000,360000,402232,465843,444450,413000,391000,376000,410000,415000,440369,480140,476220,489911,466000,351500,405000,462879,445000,460000,445899,423200,488000,440673,490000,462000,439200,408500,414300,426200,423800,431000,541800,437000,556500,641290,627266,410026,578678,655762,438176,437237,541032,491531,243781,284367,323282
Honduras,HND,Cereal production (metric tons),AG.PRD.CREL.MT,407208,403798,417765,445484,460338,517570,530184,424434,476098,575997,445978,551581,603873,502454,550439,613157,526611,618597,682954,691674.66,686528,691213.92,674003,769613,784468.57,756955,590306,562176,606578.43,603029.37,579161.72,598653,527961.28,555622.39,595111.46,752423.49,660074.3,702199,632857.61,635620.08,621782.61,690211.05,670111.28,729021.15,701829.84,765602.19,791212.18,667805.05,753682.48,743667.99
Honduras,HND,Land under cereal production (hectares),AG.LND.CREL.HA,336540,354162,343757,407429,460005,559630,556784,424347,420711,418308,347787,382421,449380,350621,403842,392249,408419,434230,465071,525210,516753,520265,514203,499625,496812,482132,541593,480425,443377,416706,431637,390415,380335,368828,390934,447161,392793,406564,381161,371372,377551,413829,361308,400277,371171,410354,427205,356907,398078,391356
"Hong Kong SAR, China",HKG,Cereal production (metric tons),AG.PRD.CREL.MT,7822,7000,3080,3540,3450,1380,350,100,70,30,20,12,24,15,11,5,3,3,2,0,0,0,0,0,0,0.07,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"Hong Kong SAR, China",HKG,Land under cereal production (hectares),AG.LND.CREL.HA,3803,3144,1906,1975,1829,733,186,66,33,20,13,9,11,6,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,HUN,Cereal production (metric tons),AG.PRD.CREL.MT,10803835,11698511,12468716,12225960,11347383,12335895,13385358,12103387,14009190,12889433,14919042,13764913,15730515,14808816,14301241,14168185,14966140,15416584,12561481,15832169,10011896,8548410,11748979.46,11298996,11343967,14139126,13037591,11392048,10036050,15045901,11703295,8769586,16779323,16212463,14467371,9652899,16840650,13590362,12269359,13678147,10372740,13609910,16613380,14145172,16643885,14017280,14885530,15650010,15566640,13980870
Hungary,HUN,Land under cereal production (hectares),AG.LND.CREL.HA,3234904,3255330,3259091,3132683,3078339,3004019,3000942,2929285,2914867,2790159,2881298,2907483,2912433,2870587,2882848,2844859,2864563,2816956,2778569,2885819,2745991,2770711,2960322,2780167,2836289,2954451,2862743,2420630,2762701,3080085,2952970,2885811,3001698,2933537,2838236,2764254,2903443,2882230,2599986,2679290,2757920,2816940,2817260,2697704,2565875,2402083,2367960,2458460,2337650,2361650
Iceland,ISL,Cereal production (metric tons),AG.PRD.CREL.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4637,7389,7400,3900,7900,7287,7490
Iceland,ISL,Land under cereal production (hectares),AG.LND.CREL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1455,2300,2100,1500,2200,1500,2400
India,IND,Cereal production (metric tons),AG.PRD.CREL.MT,108615456,119648216,106793000,127807800,121625108,138062904,142964696,126470304,140490600,147583816,136101404,166781704,164477600,165682196,164955216,156114500,183867008,199413216,193919312,193101196,201468404,208626900,211941400,210012500,218750900,223232400,226877000,236205608,234931192,242963796,206636708,236592700,229845504,239997492,242785588,260485904,266835300,250783392,267838308,287860000,293290000,294909510,296099510,285933000,294520000,311418745,321556400,324960800,342108770,356345000
India,IND,Land under cereal production (hectares),AG.LND.CREL.HA,98043804,103788908,99388716,101366908,101465120,103723620,104340004,103473312,104067000,105508300,101083696,106613208,105175600,104056596,104049212,98573604,103542716,104055700,102536512,100243408,99499504,100066500,100184200,99450800,100300000,100167200,100904200,102091700,102402400,100271100,94470900,98603100,97805700,99519200,99236800,100833500,101155500,97171600,100075800,100625700,98969000,99299950,100160240,100101000,97810000,99566880,98093510,95126400,100414900,102434744
Indonesia,IDN,Cereal production (metric tons),AG.PRD.CREL.MT,21647980,25179300,25483788,25242090,25873084,26489786,29800800,29888191,33642843,37283478,36818521,40389883,43424273,43362447,45647142,45233872,48328093,50918096,51912780,50944146,56235467,54640825,53510380,57990042,60408927,58147907,59406188,60070424,61575000,59808000,61074973,63024042,65313711,66674990,66064399,67878527,73984922,76643740,77610636,75902250,79092022,78606853,78067426,80643435,77609413,84176015,89454472,74254033,79336202.24,74425294
Indonesia,IDN,Land under cereal production (hectares),AG.LND.CREL.HA,10057690,11836770,11175470,10939970,10463810,10926080,11953780,11397185,11740005,12336878,11049754,12164696,12849826,12342259,13131212,12548627,13543906,13475406,13660449,13190619,14732663,13952314,13843200,15090598,15313299,14495818,15564020,15419561,15293000,14785900,14647996,14835868,15279888,15465047,15132235,15378324,15731313,15938659,15928676,15517692,15548595,15452504,15310019,15176367,15044369,16433169,17058294,14284515,14988182,13907782
"Iran, Islamic Rep.",IRN,Cereal production (metric tons),AG.PRD.CREL.MT,6787000,6901000,6931000,8445000,9182500,8211950,8474311,8693746,8582850,9289878,10221717,9321331,10051706,10727817,11898530,12193218,12116749,10786652,13683863,14450207.9,16029233.6,16786212.2,16692464.7,17191141,16102130.2,15787881.2,18984493.2,14197138.8,12877641.8,14943509.7,19873850.17,20947988.4,21987685.3,21914452.7,22469919.6,24077570.4,12210782.6,17952655.2,19597231.3,15018275.96,15777121.79,16427670.68,17551045,18255384.86,22419770.81,18113759.53,18650828.19,21998893.97,15627813.16,14836137.19
"Iran, Islamic Rep.",IRN,Land under cereal production (hectares),AG.LND.CREL.HA,7394000,7462000,7633000,8021000,7523870,7182000,7058200,7040321,8044580,9099999,8540938,8529696,8367349,8769721,8768499,9359707,9413821,9459552,9468074,8966845,9392585,9465486,9184780,9004665,8707503,8500366,8785973,6926601,7017438,7732252,8743853,8789102,9096853,9522870,9394627,9810297,7095403,8989037,9016254,8763666,9039256,8893995,8555401,8182763,8449886,8800337,9081051,11136148,9454460,9073243
Iraq,IRQ,Cereal production (metric tons),AG.PRD.CREL.MT,3901326,1603339,1960870,1372508,2109366,1444700,1780469,1480600,1891900,2035800,2065900,1821700,1100160,2932251,2280630,1728000,2590600,1496700,3454800,2672653,2959211,3239908,2830150,2540110,3004520,2215530,2431550,1604520,904480,1818903.07,4124870,3521487.33,3316916.71,3708150,3785500,3752471,2225411,2650113,4362383,4270151,4790950,6498524,7048606,3471115.91,4007685,3735255,2615277,6913550,8885242,5302192
Iraq,IRQ,Land under cereal production (hectares),AG.LND.CREL.HA,2703420,1702530,2195900,2020209,2165110,1501322,2304070,1928900,2290625,2256525,2355875,2478675,1082953,2976717,2777350,1937925,2462050,1625275,3256300,3342575,3919501,4588136,3571340,3170300,3339580,2769600,2811650,2719504,2490350,2625720,3157390,2910900,2783550,3911030,2848000,2966750,1585596,1493415,2570483,2374286,2066057,2934105,3441479,1288713,1303200,1359359,977375,2673021,3440808,1942488
